"CODE","pl"
"NAME","Polski"
"AVO_DESC","Dostosuj swoje pojazdy (CAVE Project by: wolPak)."
"TRN_CHOICE","Ustaw język"
"TRN_TOOLTIP","Ustaw język dla tego moda. Wymaga ponownego uruchomienia gry. (domyślnie: używa języka gry)"
"TRN_SYS","Uzyj języka gry"
"KEY_KEY","Skróty klawiszowe w grze"
"KEY_KEY_TT","Ustaw skrót klawiszowy dla interfejsu użytkownika AVO."
"KEY_PRS","Naciśnij dowolny klawisz"
"AVO_OPT_GEN","Ustawienia ogólne"
"AVO_OPT_GEN_ASAVE","Włącz automatyczny zapis dla danych konfiguracyjnych pojazdów"
"AVO_OPT_GEN_ASAVE_TT","Jeśli opcja jest włączona, wszystkie zmiany wprowadzone w pojazdach będą zapisywane po zakończeniu wprowadzania danych w polu. (domyślnie: włączone)"
"AVO_OPT_GEN_DEBUG","Włącz rejestrowanie błędów (debug)"
"AVO_OPT_GEN_DEBUG_TT","Jeśli opcja jest włączona, komunikaty debugowania modyfikacji będą rejestrowane. (domyślnie: włączone)"
"AVO_OPT_GEN_GUI","Ukryj przycisk paska narzędzi w grze"
"AVO_OPT_GEN_GUI_TT","Ukryj przycisk interfejsu na pasku narzędzi. Interfejs użytkownika AVO można wywołać skrótem klawiszowym w dowolnym momencie. (domyślnie: wyłączone - pokaż przycisk interfejsu)"
"AVO_OPT_GEN_SERVICE","Włącz ostrzeżenie dla braku dostępnych usług podczas ładowania mapy"
"AVO_OPT_GEN_SERVICE_TT","Ostrzeżenie jest wyświetlane, gdy gra jest uruchomiona i usługi miejskie
nie mają przypisanych żadnych pojazdów. (domyślnie: włączone)"
"AVO_OPT_BAL","Rozgrywka i balans"
"AVO_OPT_BAL_UNITS","Wyświetl mile (mph) zamiast kilometrów (km/h)"
"AVO_OPT_BAL_UNITS_TT","Zmienia wyświetlanie jednostki prędkości z mph na km/h.
(domyślnie: wyłączona - używa km/h)"
"AVO_OPT_BAL_EXT","Włącz różne wartości dla pojazdów nietowarowych i niepasażerskich"
"AVO_OPT_BAL_EXT_TT","Pozwala na zmianę szybkości gaszenia pożarów oraz zdolności bezpieczeństwa przeciwpożarowego, zdolności 
walki z przestępczością dla pojazdów policyjnych, wskaźnik obsługi technicznej i pompowania
dla pojazdów konserwacyjnych. (domyślnie: wyłączony)

Może destabilizować rozgrywkę w jej zamierzonej formie. Wartości nie są udokumentowane."
"AVO_OPT_COMP","Zgodność"
"AVO_OPT_COMP_MODS","Wyświetl ostrzeżenia o kompatybilności dla modów"
"AVO_OPT_COMP_MODS_TT","Jeśli opcja jest włączona, ustawienia, które mogą być modyfikowane w Improved Public Transport (od BloodyPenguin)
oraz Transport Lines Manager (od Klyte) będą wyświetlane w czerwonym kolorze. Wartości powinny
być edytowane tylko w tych modyfikacjach. Jeśli wyłączone, kolor nie zostanie wyświetlony. (domyślnie: włączone)"
"AVO_OPT_COMP_VCX","Vehicle/Asset Color Expander: Priorytet nad barwą pojazdów AVO"
"AVO_OPT_COMP_VCX_TT","Stałe ustawienie, jeśli modyfikacja Vehicle Color Expander (od Klyte) jest aktywny. 
Zarządzanie kolorami jest sterowane przez Vehicle Color Expander. Wartości 
zostaną skonfigurowane w Vehicle/Asset Color Expander (domyślnie: włączony)"
"AVO_OPT_COMP_NBT","Brak dużych ciężarówek: klasyfikuj pojazdy przemysłowe jako duże pojazdy"
"AVO_OPT_COMP_NBT_TT","Jeśli opcja jest włączona, pojazdy dostawcze mogą być oznaczone jako duże pojazdy. Wysyłka 
zostanie zablokowana przez modyfikację No Big Trucks (od MacSergey). (domyślnie: włączone)"
"AVO_OPT_COMP_TRL","Odniesienia do kompatybilności przyczep pojazdów ostatnio aktualizowane:"
"AVO_OPT_COMP_TRL_TT","To pole pokazuje datę zmiany listy pojazdów dla autobusu, trolejbusu, przyczep straży pożarnej oraz policji, które realnym świecie są
przyczepami przemysłowymi, ale zostały przekategoryzowane przez AVO."
"AVO_OPT_SUP","Wsparcie"
"AVO_OPT_SUP_WIKI","Otwórz Wiki dla Zaawansowanych Opcji Pojazdów"
"AVO_OPT_SUP_LOG","Otwórz katalog dziennika logów Cities:Skylines (output_log.txt)"
"AVO_OPT_SUP_SET","Otwórz katalog z plikami konfiguracji dla modyfikacji"
"AVO_OPT_SUP_SET_TT","Sprawdź te pliki pod kątem kopii zapasowej: 
Ustawienia modyfikacji - AdvancedVehicleOptions_Settings.xml   
Dane pojazdów w modyfikacji - AdvancedVehicleOptions_VehicleData.xml"
"AVO_MOD_CAPA","Pojemność: "
"AVO_MOD_BGUIDESC","Modyfikuj różne właściwości pojazdu"
"AVO_MOD_AV01","Twoja konfiguracja została wyeksportowana. Plik konfiguracyjny można znaleźć tutaj: "
"AVO_MOD_AV02","Następujące usługi mogą nie działać prawidłowo, ponieważ żadne pojazdy nie są włączone do pojawiania się w świecie gry:"
"AVO_MOD_VO01","Zdolność zwalczania pożarów: "
"AVO_MOD_VO02","Wskaźnik przestępczości: "
"AVO_MOD_VO03","Częstotliwość pompowania: "
"AVO_MOD_VO04","Odległość podróży: "
"AVO_MOD_VO05","Wskaźnik połowów: "
"AVO_MOD_VO06","Nieokreślona pojemność: "
"AVO_MOD_VO07","Przepustowość pasażerów: "
"AVO_MOD_VO08","Ładowność: "
"AVO_MOD_VO09","Ładowność poczty: "
"AVO_MOD_VO10","Zdolność konserwacyjna: "
"AVO_MOD_VO11","Przepustowość pacjentów: "
"AVO_MOD_VO12","Przepustowość zwłok: "
"AVO_MOD_VO13","Wskaźnik przestępczości: "
"AVO_MOD_VO14","Zdolność zwalczania pożarów: "
"AVO_MOD_VO15","Wskaźnik skuteczności: "
"AVO_MOD_MP00","Wszystkie pojazdy"
"AVO_MOD_MP01","Obywatel - Samochody"
"AVO_MOD_MP02","Obywatel - Rowery"
"AVO_MOD_MP03","Przemysł – Leśnictwo"
"AVO_MOD_MP04","Przemysł - Rolnictwo"
"AVO_MOD_MP05","Przemysł - Ruda"
"AVO_MOD_MP06","Przemysł – Ropa naftowa"
"AVO_MOD_MP07","Przemysł - Rybołówstwo"
"AVO_MOD_MP08","Przemysł - Dostawa"
"AVO_MOD_MP09","Przemysł – Fabryki"
"AVO_MOD_MP10","Policja"
"AVO_MOD_MP11","Służba Więzienna"
"AVO_MOD_MP12","Ochrona przeciwpożarowa"
"AVO_MOD_MP13","Reagowanie na klęski i katastrofy"
"AVO_MOD_MP14","Służba zdrowia"
"AVO_MOD_MP15","Usługi pogrzebowe"
"AVO_MOD_MP16","Odpady"
"AVO_MOD_MP17","Transfer odpadów"
"AVO_MOD_MP18","Konserwacja"
"AVO_MOD_MP19","Usługi pocztowe"
"AVO_MOD_MP20","Autobus"
"AVO_MOD_MP21","Autobus międzymiastowy"
"AVO_MOD_MP22","Trolejbus"
"AVO_MOD_MP23","Taksówka"
"AVO_MOD_MP24","Metro"
"AVO_MOD_MP25","Tramwaj"
"AVO_MOD_MP26","Kolej jednoszynowa"
"AVO_MOD_MP27","Kolejka linowa"
"AVO_MOD_MP28","Pociąg - Towarowy"
"AVO_MOD_MP29","Pociąg - Pasażerski"
"AVO_MOD_MP30","Statek - Towarowy"
"AVO_MOD_MP31","Statek - Pasażerski"
"AVO_MOD_MP32","Statek - Prom"
"AVO_MOD_MP33","Samolot - Towarowy"
"AVO_MOD_MP34","Samolot - Pasażerski"
"AVO_MOD_MP35","Lokalny ruch powietrzny"
"AVO_MOD_MP36","Turystyka + Wycieczki"
"AVO_MOD_MP37","Miejsce startu"
"AVO_MOD_MP38","Naturalne"
"AVO_MOD_MP39","Wybierz kategorię pojazdu do wyświetlenia - Wskazówka: Użyj
kółka myszy, aby szybciej przełączać się między kategoriami."
"AVO_MOD_MP40","Wprowadź nazwę typu pojazdu"
"AVO_MOD_MP41","Działania dla konfiguracji pojazdu:"
"AVO_MOD_MP42","Importuj"
"AVO_MOD_MP43","Załaduj istniejącą konfigurację pojazdu"
"AVO_MOD_MP44","Eksportuj"
"AVO_MOD_MP45","Zapisz aktualną konfigurację pojazdu"
"AVO_MOD_MP46","Zresetuj wszystko"
"AVO_MOD_MP47","Zresetuj pełną konfigurację"
"AVO_MOD_MP48","Dane pojazdu -
Autozapis aktywny"
"AVO_MOD_MP49","Automatyczny zapis danych konfiguracyjnych pojazdu jest włączony. Wszystkie zmiany
zostaną natychmiast zapisane do zewnętrznego pliku konfiguracyjnego."
"AVO_MOD_MP50","Kliknij tutaj, aby przejrzeć istniejące pojazdy tego typu.
Przytrzymaj klawisz Shift, aby zbliżyć bezpośrednio do pojazdu."
"AVO_MOD_MP51","Kliknij tutaj, aby usunąć zaznaczony pojazd."
"AVO_MOD_MP52","Potwierdź resetowanie konfiguracji"
"AVO_MOD_MP53","Dostosowane ustawienia dla wszystkich pojazdów zostaną zresetowane. Czy kontynuować resetowanie konfiguracji?"
"AVO_MOD_MP54","Wszystkie konfiguracje pojazdu i dostosowane ustawienia zostały przywrócone do ustawień domyślnych gry."
"AVO_MOD_MP55","Szukaj :"
"AVO_MOD_MP56","Kategoria :"
"AVO_MOD_OP01","km/h"
"AVO_MOD_OP02","mph"
"AVO_MOD_OP03"," Ostrzeżenie: Improved Public Transport jest aktywny i może zastąpić to ustawienie."
"AVO_MOD_OP04"," Ostrzeżenie: Transport Lines Manager jest aktywny i może zastąpić to ustawienie."
"AVO_MOD_OP05","Działania dla: "
"AVO_MOD_OP06","Prędkość maksymalna: "
"AVO_MOD_OP07","Zmień maksymalną prędkość pojazdu. Pamiętaj, że pojazdy
nie przekroczą limitów wyznaczonych na odcinkach używanej aktualnie sieci."
"AVO_MOD_OP08","Przyspieszenie/Hamowanie/Obrót: "
"AVO_MOD_OP09","Zmień współczynnik przyspieszenia pojazdu.
Określa, jak szybko samochód przyspiesza."
"AVO_MOD_OP10","Zmień współczynnik hamowania pojazdu.
Określa szybkość hamowania samochodu."
"AVO_MOD_OP11","Zmień współczynnik obrotu pojazdu.
Określa jak dobrze samochód skręca."
"AVO_MOD_OP12","Resory/Amortyzatory"
"AVO_MOD_OP13","Zmień współczynnik resorów pojazdu.
Określa wartość ruchu dla zawieszenia."
"AVO_MOD_OP14","Zmień współczynnik amortyzatorów pojazdu.
Określa jak szybko zawieszenie powraca do stanu domyślnego."
"AVO_MOD_OP15","Mnożnik Odchylenia/Pochylenia: "
"AVO_MOD_OP16","Zmień mnożnik odchylenia pojazdu.
Określa na ile pojazd przechyla się na boki podczas skręcania."
"AVO_MOD_OP17","Zmień mnożnik pochylenia pojazdu.
Określa pochylnie pojazdu do przodu/do tyłu podczas hamowania lub przyspieszania."
"AVO_MOD_OP18","Włącz warianty kolorów:"
"AVO_MOD_OP19","Włącz warianty kolorów dla pojazdów.
Losowy kolor jest wybierany pomiędzy czterema poniższymi kolorami."
"AVO_MOD_OP20","Kolory zarządzane są przez Vehicle/Asset Color Expander"
"AVO_MOD_OP21","Zezwól temu pojazdowi na pojawianie się"
"AVO_MOD_OP22","Upewnij się, że masz co najmniej jeden pojazd, który
może się pojawić dla tej kategorii."
"AVO_MOD_OP23","Zastąp ostatni wagon lokomotywą"
"AVO_MOD_OP24","Spraw, by ostatni wagon tego pociągu był lokomotywą."
"AVO_MOD_OP25","Oznacz jako duży pojazd"
"AVO_MOD_OP26","Zapobiegaj dostawom do małych budynków przez pojazdy z przyczepą.
Ta funkcja jest kontrolowana przez moda No Big Trucks."
"AVO_MOD_OP27","Zmień pojemność pojazdu."
"AVO_MOD_OP28","Specjalna pojemność: "
"AVO_MOD_OP29","Zmień specjalne parametry pojazdu."
"AVO_MOD_OP30","Jeśli nie wiesz, czym jest ta wartość:
Nie używaj tego! Kliknij na poradnik użytkownika: specjalna pojemność."
"AVO_MOD_OP31","Zarządzaj odradzaniem w przeglądzie linii transportowych"
"AVO_MOD_OP32","Otwórz przegląd linii transportowej 
i zarządzaj odradzaniem pojazdu."
"AVO_MOD_OP33","Kliknij, aby wyświetlić przewodnik użytkownika: sterowanie spawnowaniem"
"AVO_MOD_OP34","Odradzanie przyczep autobusowych jest kontrolowane przez główny pojazd autobusowy.
Ustawienia muszą być skonfigurowane z panelu przeglądu linii transportowych."
"AVO_MOD_OP35","Wartości domyślne"
"AVO_MOD_OP36","Przywróć wszystkie wartości do domyślnych"
"AVO_MOD_OP37","Globalne działania dla: "
"AVO_MOD_OP38","Usuń aktualnie używane"
"AVO_MOD_OP39","Usuń wszystkie aktualnie używane pojazdy tego typu.
Przytrzymaj klawisz SHIFT, aby usunąć wszystkie typy."
"AVO_MOD_OP40","Usuń zaparkowane"
"AVO_MOD_OP41","Usuń wszystkie zaparkowane pojazdy tego typu.
Przytrzymaj klawisz SHIFT, aby usunąć wszystkie typy."
"AVO_MOD_OP42"," może nie działać poprawnie, ponieważ żadne pojazdy nie mogą się pojawić."
"AVO_MOD_OP43","Pozycja parkowania: "
"AVO_MOD_OP44","Małe"
"AVO_MOD_OP45","Średnie"
"AVO_MOD_OP46","Duże"
"AVO_MOD_OP47","Ładunek"
"AVO_MOD_OP48","Synchronizuj silnik
z przyczepą"
"AVO_MOD_OP49","Jeśli opcja jest włączona, właściwości silnika są synchronizowane ze wszystkimi przyczepami."
"AVO_MOD_OP50","Zaznaczenie definiuje rozmiar pozycji parkowania."
"AVO_MOD_WM01","Ostrzeżenie"
"AVO_OPT_SYNC","Zapamiętaj ustawienia synchronizacji silnika/przyczepy"
"AVO_OPT_SYNC_TT","Jeśli opcja jest włączona, ustawienie synchronizacji pomiędzy silnikami/przyczepą zostanie zapamiętane,
w przeciwnym razie każda synchronizacja jest tylko jednorazowa. (domyślnie: wyłączona)"
