"CODE","en"
"NAME","Russian"
"AVO_DESC","Настройте ваши транспортные средства (CAVE Project by: wolPak)."
"TRN_CHOICE","Выбрать язык"
"TRN_TOOLTIP","Выберите язык, используемый для этого мода. Требуется
перезапустить игру. (по умолчанию: язык игры)"
"TRN_SYS","Использовать язык игры"
"KEY_KEY","Горячие клавиши в игре"
"KEY_KEY_TT","Определите горячую клавишу для интерфейса AVO."
"KEY_PRS","Нажмите любую клавишу"
"AVO_OPT_GEN","Общие настройки"
"AVO_OPT_GEN_ASAVE","Включить автосохранение для данных о конфигурации транспорта"
"AVO_OPT_GEN_ASAVE_TT","Если включено, все изменения на транспорте будут сохранены сразу
после ввода данных. (по умолчанию: включено)"
"AVO_OPT_GEN_DEBUG","Включить логирования сообщений отладки"
"AVO_OPT_GEN_DEBUG_TT","Если включено, будут записаны отладочные сообщения (по умолчанию: включено)"
"AVO_OPT_GEN_GUI","Скрыть кнопку панели инструментов в игре"
"AVO_OPT_GEN_GUI_TT","Скрыть кнопку UI на главной панели. Интерфейс AVO может быть
доступен с помощью горячей клавиши в любое время. (по умолчанию: отключено - показать кнопку UI)"
"AVO_OPT_GEN_SERVICE","Включить предупреждение для недоступных служб при загрузке карты"
"AVO_OPT_GEN_SERVICE_TT","Показывать предупреждение при запуске игры и городских служб
не имеют назначенного транспорта. (по умолчанию: включено)"
"AVO_OPT_BAL","Игра и баланс"
"AVO_OPT_BAL_UNITS","Показывать мили в час (мч/ч) вместо километра в час (км/ч)"
"AVO_OPT_BAL_UNITS_TT","Поменять отображение единицы скорости с миль/ч в км/ч.
(по умолчанию: отключено - использование км/ч)"
"AVO_OPT_BAL_EXT","Включить различные значения для не грузовых и не пассажирских транспорта"
"AVO_OPT_BAL_EXT_TT","Позволяет изменить скорость пожаротушения и мощность для пожарной безопасности,
Уровень преступности для полицейских машин, скорость обслуживания и прокачки
для автомобилей технического обслуживания. (по умолчанию: отключено)

Может нарушить баланс игрового процесса. Значения не задокументированы."
"AVO_OPT_COMP","Совместимость"
"AVO_OPT_COMP_MODS","Отображать предупреждения совместимости для модов"
"AVO_OPT_COMP_MODS_TT","Если включено, настройки, которые можно изменить в Improved Public Transport (от BloodyPenguin)
и Transport Lines Manager (от Klyte) будут отображаться красным цветом. Значения должны быть отредактированны только в этих модах. 

Если отключено, раскраска не будет отображаться. (по умолчанию: включено)"
"AVO_OPT_COMP_VCX","Перекрашивание транспортного средства/Объекта: Приоритет над покраской транспортного средства AVO"
"AVO_OPT_COMP_VCX_TT","Постоянная настройка, если активирована опция Vehicle Color Expander (от Klyte). 
Управление цветом управляется Vehicle Color Expander. Значения 
будут настроены в Vehicle/Asset Color Expander. (по умолчанию: постоянно включено)"
"AVO_OPT_COMP_NBT","Без больших грузовиков: классифицировать транспорт промышленных предприятий как крупные транспортные средства"
"AVO_OPT_COMP_NBT_TT","Если включено, грузовики с доставкой могут быть помечены как большие транспортные средства. Отправка 
будет заблокирована функцией без больших грузовиков (от MacSergey). (по умолчанию: включено)"
"AVO_OPT_COMP_TRL","Последнее обновление ссылок на совместимость с прицепом для транспорта:"
"AVO_OPT_COMP_TRL_TT","Это поле показывает дату пересмотра перечня автомобилей автобуса, 
троллейбуса, прицепов для пожара и полицейских, которые находятся как
промышленные прицепы, но их категория была сменена AVO."
"AVO_OPT_SUP","Поддержка"
"AVO_OPT_SUP_WIKI","Откройте Advanced Vehicle Options Wiki"
"AVO_OPT_SUP_LOG","Открыть папку Cities:Skylines с лог журналом (output_log.txt)"
"AVO_OPT_SUP_SET","Открыть папку с файлами конфигурации мода"
"AVO_OPT_SUP_SET_TT","Проверьте эти файлы для резервного копирования: 
Настройки мода - AdvancedVehicleOptions_Settings.xml
Данные транспорта мода - AdvancedVehicleOptions_VehicleData.xml"
"AVO_MOD_CAPA","Вместимость: "
"AVO_MOD_BGUIDESC","Изменить различные свойства автомобиля"
"AVO_MOD_AV01","Ваша конфигурация была экспортирована. Конфигурационный файл можно найти здесь: "
"AVO_MOD_AV02","Следующие службы могут работать неправильно, поскольку нет возможности для спавна автомобиля:"
"AVO_MOD_VO01","Противопожарная вместимость:"
"AVO_MOD_VO02","Вместимость преступности:"
"AVO_MOD_VO03","Скорость перекачивания: "
"AVO_MOD_VO04","Пройденное расстояние: "
"AVO_MOD_VO05","Скорость рыболовли: "
"AVO_MOD_VO06","Неуказанная вместимость: "
"AVO_MOD_VO07","Пассажирская вместимость: "
"AVO_MOD_VO08","Грузовая вместимость: "
"AVO_MOD_VO09","Почтовая вместимость: "
"AVO_MOD_VO10","Потенциал обслуживания: "
"AVO_MOD_VO11","Количество пациентов: "
"AVO_MOD_VO12","Количество трупов: "
"AVO_MOD_VO13","Уровень преступности: "
"AVO_MOD_VO14","Скорость тушения пожара: "
"AVO_MOD_VO15","Эффективность: "
"AVO_MOD_MP00","Весь транспорт"
"AVO_MOD_MP01","Граждане - Автомобили"
"AVO_MOD_MP02","Граждане - Велосипеды"
"AVO_MOD_MP03","Промышленность - Лесоводство"
"AVO_MOD_MP04","Промышленность - Земледелие"
"AVO_MOD_MP05","Промышленность - Руда"
"AVO_MOD_MP06","Промышленность - Нефть"
"AVO_MOD_MP07","Промышленность - Рыболовство"
"AVO_MOD_MP08","Промышленность - Доставка"
"AVO_MOD_MP09","Промышленность - Фабрики"
"AVO_MOD_MP10","Полиция"
"AVO_MOD_MP11","Тюрьма"
"AVO_MOD_MP12","Пожарная безопасность"
"AVO_MOD_MP13","Служба спасения"
"AVO_MOD_MP14","Здравоохранение"
"AVO_MOD_MP15","Катафалки"
"AVO_MOD_MP16","Мусор"
"AVO_MOD_MP17","Перевозчик отходов"
"AVO_MOD_MP18","Обслуживание"
"AVO_MOD_MP19","Почтовая служба"
"AVO_MOD_MP20","Автобус"
"AVO_MOD_MP21","Междугородний автобус"
"AVO_MOD_MP22","Троллейбус"
"AVO_MOD_MP23","Такси"
"AVO_MOD_MP24","Метро"
"AVO_MOD_MP25","Трамвай"
"AVO_MOD_MP26","Монорельс"
"AVO_MOD_MP27","Фуникулер"
"AVO_MOD_MP28","Поезд - Груз"
"AVO_MOD_MP29","Поезд - Пассажир"
"AVO_MOD_MP30","Корабль - грузовой"
"AVO_MOD_MP31","Корабль - Круиз"
"AVO_MOD_MP32","Корабль - Паром"
"AVO_MOD_MP33","Самолет - Груз"
"AVO_MOD_MP34","Самолет - Пассажир"
"AVO_MOD_MP35","Локальное воздушное сообщение"
"AVO_MOD_MP36","Туризм + Экскурсии"
"AVO_MOD_MP37","Космодром"
"AVO_MOD_MP38","Катастрофы"
"AVO_MOD_MP39","Выберите категорию автомобилей для отображения 

Подсказка: Используйте колесо мыши для перехода между категориями быстрее."
"AVO_MOD_MP40","Введите название типа автомобиля"
"AVO_MOD_MP41","Действия для конфигурации автомобиля:"
"AVO_MOD_MP42","Импорт"
"AVO_MOD_MP43","Загрузить существующую конфигурацию автомобиля"
"AVO_MOD_MP44","Экспорт"
"AVO_MOD_MP45","Сохраните текущую конфигурацию автомобиля"
"AVO_MOD_MP46","Сбросить всё"
"AVO_MOD_MP47","Сбросить полностью конфигурацию"
"AVO_MOD_MP48","Данные автомобилей -
Авто сохранение активно"
"AVO_MOD_MP49","Авто сохранение данных конфигурации автомобилей включено. Все изменения
будут немедленно сохранены во внешнем файле конфигурации."
"AVO_MOD_MP50","Нажмите здесь, чтобы перейти к существующим автомобилям этого типа.
Удерживайте клавишу Shift, чтобы перейти к автомобилю."
"AVO_MOD_MP51","Нажмите здесь, чтобы удалить выбранный автомобиль."
"AVO_MOD_MP52","Подтвердить сброс конфигурации"
"AVO_MOD_MP53","Настраиваемые настройки для всех автомобилей будут сброшены. Перейти к сбросу настроек?"
"AVO_MOD_MP54","Все настройки и настройки автомобиля были сброшены по умолчанию."
"AVO_MOD_MP55","Поиск:"
"AVO_MOD_MP56","Категория:"
"AVO_MOD_OP01","км/ч"
"AVO_MOD_OP02","миль/ч"
"AVO_MOD_OP03"," Внимание: Improved Public Transport включен и может переопределить этот параметр."
"AVO_MOD_OP04"," Внимание: Transport Lines Manager включен и может переопределить этот параметр."
"AVO_MOD_OP05","Действия для: "
"AVO_MOD_OP06","Максимальная скорость: "
"AVO_MOD_OP07","Измените максимальную скорость автомобиля. Пожалуйста, обратите внимание, что автомобили
не будут выходить за пределы скорости дорог, которую они используют."
"AVO_MOD_OP08","Ускорение/торможение/поворот: "
"AVO_MOD_OP09","Изменение коэффициента ускорения автомобиля.
Определяет, насколько быстро автомобиль ускоряется."
"AVO_MOD_OP10","Изменение коэффициента торможения автомобиля.
Определяет, насколько быстро тормозит автомобиль."
"AVO_MOD_OP11","Изменение коэффициента поворота автомобиля.
Определяет, насколько хорошо поворачивает автомобиль."
"AVO_MOD_OP12","Пружины/Амортизаторы"
"AVO_MOD_OP13","Изменение коэффициента пружины автомобиля.
Определяет, насколько сжимается подвеска."
"AVO_MOD_OP14","Изменение коэффициента амортизатора.
Определяет, как быстро приостановка возвращает стандартное состояние."
"AVO_MOD_OP15","Множитель наклона/кивания: "
"AVO_MOD_OP16","Изменение коэффициента наклона автомобиля.
Определяет, насколько автомобиль наклоняется в стороны при повороте."
"AVO_MOD_OP17","Изменение коэффициента кивка автомобиля.
Определяет, насколько автомобиль кивает вперед/назад при торможении или ускорении."
"AVO_MOD_OP18","Включить цветовую вариацию:"
"AVO_MOD_OP19","Включить вариации цвета автомобилей.
Случайный цвет выбирается между четырьмя следующими цветами для автомобилей."
"AVO_MOD_OP20","Цвета управляются с помощью Vehicle/Asset Color Expander"
"AVO_MOD_OP21","Позволить этому автомобилю появляться"
"AVO_MOD_OP22","Убедитесь, что хотя бы один автомобиль
разрешен для этой категории."
"AVO_MOD_OP23","Заменить последний автомобиль с двигателем"
"AVO_MOD_OP24","Сделать последний вагон этого поезда двигателем."
"AVO_MOD_OP25","Пометить как Грузовик"
"AVO_MOD_OP26","Предотвратите доставку грузовиков с прицепом в небольшие здания.
Эта функция контролируется модом «No Big Trucks»."
"AVO_MOD_OP27","Изменить вместимость автомобиля."
"AVO_MOD_OP28","Особая вместимость: "
"AVO_MOD_OP29","Изменение специальных параметров автомобиля."
"AVO_MOD_OP30","Если вы не знаете, что это за значение:
Не трогайте его! Нажмите для руководства по: Special Capacity."
"AVO_MOD_OP31","Управление появлением в обзоре транспортных маршрутов"
"AVO_MOD_OP32","Откройте транспортные маршруты
и управляйте появлением автомобиля."
"AVO_MOD_OP33","Перейти к руководству пользователя: Spawn Control"
"AVO_MOD_OP34","Появления автобусных прицепов находятся под контролем основного автобусного транспорта.
Настройки должны быть настроены на панели обзор транспортных маршрутов."
"AVO_MOD_OP35","Базовое значение"
"AVO_MOD_OP36","Восстановить все значения по умолчанию"
"AVO_MOD_OP37","Общее действие для: "
"AVO_MOD_OP38","Убрать едущих"
"AVO_MOD_OP39","Убрать всех едущих автомобилей этого типа.
Удерживайте клавишу SHIFT, чтобы убрать все типы."
"AVO_MOD_OP40","Удалить припаркованные"
"AVO_MOD_OP41","Убрать всех припаркованных автомобилей этого типа.
Удерживайте клавишу SHIFT, чтобы убрать все типы."
"AVO_MOD_OP42"," может работать неправильно, потому что ни один из транспортов не может появляться."
"AVO_MOD_OP43","Размер терминала: "
"AVO_MOD_OP44","Малый"
"AVO_MOD_OP45","Средний"
"AVO_MOD_OP46","Большой"
"AVO_MOD_OP47","Груз"
"AVO_MOD_OP48","Синхронизировать движок
с прицепом"
"AVO_MOD_OP49","Если включено, свойства движка синхронизируются со всеми прицепами."
"AVO_MOD_OP50","Выделение определяет размер позиции подставки."
"AVO_MOD_WM01","Предупреждение"
"AVO_OPT_SYNC","Запомнить настройки синхронизации движка/прицепа"
"AVO_OPT_SYNC_TT","Если этот параметр включен, настройка синхронизации между движком/прицепами будет
запоминаться, иначе каждая синхронизация только на один раз. (по умолчанию: отключена)"
