"LANGUAGE","Türkçe"
"LBR_NAME","Yaşam Döngüsü Dengesi - Tekrar Düzenlenmiş Versiyonu"
"LBR_DESC","Vatandaşların yaşam süresini arttırır ve rastgele düzenler, göçmenlerin yaşlarını ve eğitim seviyelerini rastgele düzenler ve vatandaşların iş yerlerine ulaşımlarını değiştirir."
"LBR_SPN","Yaşam süresi - ömür"
"LBR_SPN_WRN","Uyarı"
"LBR_SPN_BAL","Oyun süresince ayarları dğeiştirmek şehir dengesini geçici olarak bozabilir"
"LBR_SPN_BAK","Değişimlerden önce yedekleme yapılması ŞİDDETLE tavsiye edilir."
"LBR_CAL","Yaşam döngüsü hesaplama modeli"
"LBR_CAL_SUN","Modifiye edilmiş Sunset Harbor (DLC) yaşam süreleri (varsayılan)"
"LBR_CAL_LEG","Modifiye edilmiş eski yaşam süreleri (orijinal WG modu) - daha kısa yaşam süresi, daha az yaşlı vatandaş"
"LBR_CAL_VAN","Normal Sunset Harbor (DLC) yaşam süreleri - daha az değişken yaşam süreleri, biraz daha fazla yaşlı vatandaş"
"LBR_SHO","(sadece bu mod'un Sunset Harbor DLC'si için sunduğu seçenekleri kullanırken)"
"LBR_RET","Emeklilik yaşı seçenekleri"
"LBR_RET_USE","Özel emeklilik yaşı kullan"
"LBR_RET_CUS","Özel emeklilik yaşı"
"LBR_RET_NT1","Emeklilik yaşını azaltmak daha önceki ayarlarda çoktan emekli olmuş vatandaşları etkilemeyecektir."
"LBR_RET_NT2","Emeklilik yaşını artırmak daha önceki ayarlarda çoktan emekli olmuş vatandaşları etkilemeyecektir."
"LBR_CHI","Childhood age options"
"LBR_CHI_CUS","Use custom childhood ages"
"LBR_CHI_SCH","Age in years at which children start school"
"LBR_CHI_TEE","Age in years at which children start high school"
"LBR_CHI_YOU","Age in years at which children start college/university"
"LBR_HEA","Sağlık"
"LBR_HEA_ILL","Her on senelik yaşamda rastgele hastalık çıkma %'si"
"LBR_HEA_ILD","Kirlilik ve gürültü gibi spesifik nedenlerden kaynaklanan hastalıkları etkilemez."
"LBR_HEA_AGE","Yaşlar"
"LBR_DTH","Ölüm"
"LBR_DTH_TRN","Cenaze nakli bekleyen ceset %'si"
"LBR_DTH_TRD","(Oyundaki varsayılan %67, mod'da varsayılan %50)"
"LBR_IMM","Göç"
"LBR_IMM_VAR","Göçmen eğitim seviyelerine %25 değişkenlik uygula"
"LBR_IMM_INC","Ortalama göçmen eğitim seviyesini arttır"
"LBR_IMM_DEC","Ortalama göçmen eğitim seviyesini azalt"
"LBR_SET","Ayarlar"
"LBR_SET_LGD","Ölümleri ""Lifecycle death log.txt""ye kaydet"
"LBR_SET_LGI","Göçmenleri ""Lifecycle immigration log.txt""ye kaydet"
"LBR_SET_LGT","Özel ulaşım tercihlerini ""Lifecycle transport log.txt""ye kaydet - UYARI - YAVAŞ!"
"LBR_SET_LGS","Hastalık olaylarını ""Lifecycle sickness log.txt""ye kaydet"
"LBR_SPD","Hız"
"LBR_SPD_FAC","Vatandaşların yaşlanma hızını oyunun varsayılanına göre yavaşlatma faktörü"
"LBR_SPD_FN1","Varsayılan oyun hızı 1'dir (35 oyun içi hafta 10 yıl yaşa eşittir), 2 katı yavaşı 2'dir (70 oyun içi hafta 10 yıl yaşa eşittir), 3 katı yavaşı için 3'dür ve benzeri şekilde artar. Ortalama oyun içi 1 yılda 1 yaş arttırmak 15 kata eşittir."
"LBR_SPD_FN2","Yaşam döngüsünü veya yaşları etkilemez - sadece oyun hızına bağlı olarak vatandaşların ne kadar hızlı yaşlanacağını seçer."
"LBR_SPD_FN3","(Oyundaki varsayılan 1, mod'da varsayılan 3)"
"LBR_TRN","Ulaşım"
"LBR_TRN_CUS","Özel ulaşım modu olasılıklarını kullan"
"LBR_TRN_WEA","Refah seviyesi"
"LBR_TRN_CAR","Araba kullanma yüzdesi (%)"
"LBR_TRN_BIK","Bisiklet kullanma yüzdesi (%)"
"LBR_TRN_TAX","Taksi kullanma yüzdesi (%)"
"LBR_TRN_RLO","Çevreci yerleşim yüksek"
"LBR_TRN_RHI","Yerleşim yüksek"
"LBR_TRN_RW2","Residential wall-to-wall"
"LBR_TRN_ERL","Çevreci yerleşim düşük"
"LBR_TRN_ERH","Çevreci iskan yüksek"
"LBR_TRN_CHL","Çocuk"
"LBR_TRN_TEN","Genç"
"LBR_TRN_YAD","Genç Yetişkin"
"LBR_TRN_ADL","Yetişkin"
"LBR_TRN_SEN","Yaşlı"
"LBR_DEF","Varsayılan"
"LBR_RTD","Varsayılana dön"
"LBR_RTS","Kaydedilene dön"
"LBR_SAA","Kaydet ve uygula"
"LBR_ZRO","Her şeyi sıfıra ayarla"
"LBR_150_TIT","Yaşam Döngüsü Dengesi - Tekrar Düzenlenmiş Versiyonu 1.5 versiyonuna güncellenmiştir"
"LBR_150_NT1","Ulaşım modu seçenekler artık seçenekler panelinden değiştirillebilecektir. Çevreci ve normal yerleşimler artık ayrı seçeneklere sahipler."
"LBR_150_NT2","Şehre göç eden insanların eğitim seviyeleri değiştirilebilir."
"LBR_151_NT1","Seçenekler panelinin düzenini çeviriler için ayarla"
"LBR_152_NT1","Ebeveynsiz evler olmaması için reşit olmayan çocuklu ebeveynler erken ölmeyecektir."
"LBR_152_NT2","Mod çakışması kontrolü ve bildirimi iyileştirildi."
"LBR_152_NT3","Güncelleme bildirimleri iyileştirildi."
"LBR_154_NT1","Change treatment of single parent death: remove orphaned children when both parents die (instead of sparing parent from death)"
"LBR_154_NT2","Add code to check for and remove building residents with invalid data"
"LBR_160_NT1","MAJOR NEW FEATURE: realistic early life ageing and progress, from early childhood to young adult (optional, customizable)"
"LBR_160_NT2","New early life ageing is matched to real-world values and stages and includes a pre-school stage of life (young children)"
"LBR_160_NT3","This option can be enabled/disabled and customized in the mod's options panel"
"LBR_160_NT4","NOTE: this option is initially enabled by default"
